Aus welchem Teil Deutschlands kommst du?,Wie alt sind Sie?,Do you know it?,"Haribo Goldbären Do you know that brand? (1 --yes, 2 no)","Jägermeister Do you know that brand? (1 --yes, 2 no)","Rotkäppchen Do you know that brand? (1 --yes, 2 no)","Halloren Do you know that brand? (1 --yes, 2 no)","Jack Daniel's Do you know that brand? (1 --yes, 2 no)","M&M'S Do you know that brand? (1 --yes, 2 no)",Original country?,"Haribo Goldbären (Original country? 1 - west germany, 2 - east germany, 3 - the us, 4 - other country)","Jägermeister (Original country? 1 - west germany, 2 - east germany, 3 - the us, 4 - other country)","Rotkäppchen (Original country? 1 - west germany, 2 - east germany, 3 - the us, 4 - other country)","Halloren (Original country? 1 - west germany, 2 - east germany, 3 - the us, 4 - other country)","Jack Daniel's (Original country? 1 - west germany, 2 - east germany, 3 - the us, 4 - other country)","M&M'S (Original country? 1 - west germany, 2 - east germany, 3 - the us, 4 - other country)",Quality product from cooperation:,"East + East (Quality product from the cooperation from the brands of that countiries, 1 (bad) - 7 (good)","West + West (Quality product from the cooperation from the brands of that countiries, 1 (bad) - 7 (good)","East + West (Quality product from the cooperation from the brands of that countiries, 1 (bad) - 7 (good)","US + West (Quality product from the cooperation from the brands of that countiries, 1 (bad) - 7 (good)","US + East (Quality product from the cooperation from the brands of that countiries, 1 (bad) - 7 (good)","US + US (Quality product from the cooperation from the brands of that countiries, 1 (bad) - 7 (good)","OVERALL (Quality product from the cooperation from the brands of that countiries, 1 (bad) - 7 (good)",Ready to buy:,"East + East (Ready to buy from the cooperation from the brands of that countiries, 1 (bad) - 7 (good)","West + West (Ready to buy from the cooperation from the brands of that countiries, 1 (bad) - 7 (good)","East + West (Ready to buy from the cooperation from the brands of that countiries, 1 (bad) - 7 (good)","US + West (Ready to buy from the cooperation from the brands of that countiries, 1 (bad) - 7 (good)","US + East (Ready to buy from the cooperation from the brands of that countiries, 1 (bad) - 7 (good)","US + US (Ready to buy from the cooperation from the brands of that countiries, 1 (bad) - 7 (good)","OVERALL (Ready to buy from the cooperation from the brands of that countiries, 1 (bad) - 7 (good)",Ready to recommend:,"East + East (Ready to Recommend from the cooperation from the brands of that countiries, 1 (bad) - 7 (good)","West + West (Ready to Recommend from the cooperation from the brands of that countiries, 1 (bad) - 7 (good)","East + West (Ready to Recommend from the cooperation from the brands of that countiries, 1 (bad) - 7 (good)","US + West (Ready to Recommend from the cooperation from the brands of that countiries, 1 (bad) - 7 (good)","US + East (Ready to Recommend from the cooperation from the brands of that countiries, 1 (bad) - 7 (good)","US + US (Ready to Recommend from the cooperation from the brands of that countiries, 1 (bad) - 7 (good)","OVERALL (Ready to Recommend from the cooperation from the brands of that countiries, 1 (bad) - 7 (good)",AVERAGE CHARACTERESTICS:,"Individualism (AVERAGE CHARACTERESTICS, 1 - not at all - 7 fully agree)","Collectivism (AVERAGE CHARACTERESTICS, 1 - not at all - 7 fully agree)","Uncertainty Avoidance (AVERAGE CHARACTERESTICS, 1 - not at all - 7 fully agree)"
2.00,2.00,,,1.00,,,,1.00,,,1.00,,,,3.00,,,,,1.00,,,1.00,,,,,1.00,,,1.00,,,,,3.00,,,3.00,,5.00,6.00,4.00
2.00,3.00,,,,,2.00,1.00,,,,,,1.00,3.00,,,,,,,5.00,,5.00,,,,,,4.00,,4.00,,,,,,2.00,,2.00,,7.00,5.00,6.00
2.00,2.00,,1.00,,1.00,,,,,2.00,,1.00,,,,,,,2.00,,,,2.00,,,,1.00,,,,1.00,,,,1.00,,,,1.00,,7.00,4.00,5.00
2.00,6.00,,,1.00,,,,1.00,,,2.00,,,,3.00,,,,,2.00,,,2.00,,,,,1.00,,,1.00,,,,,1.00,,,1.00,,5.00,5.00,3.00
2.00,6.00,,1.00,,,,1.00,,,2.00,,,,3.00,,,,,,3.00,,,3.00,,,,,4.00,,,4.00,,,,,5.00,,,5.00,,7.00,4.00,3.00
2.00,2.00,,,,,1.00,1.00,,,,,,1.00,3.00,,,,,,,5.00,,5.00,,,,,,5.00,,5.00,,,,,,5.00,,5.00,,5.00,6.00,6.00
2.00,2.00,,1.00,,1.00,,,,,2.00,,1.00,,,,,,,3.00,,,,3.00,,,,2.00,,,,2.00,,,,1.00,,,,1.00,,4.00,6.00,5.00
2.00,2.00,,,1.00,,2.00,,,,,2.00,,1.00,,,,,,3.00,,,,3.00,,,,3.00,,,,3.00,,,,4.00,,,,4.00,,5.00,6.00,4.00
2.00,6.00,,,,,2.00,1.00,,,,,,3.00,3.00,,,,,,,4.00,,4.00,,,,,,2.00,,2.00,,,,,,2.00,,2.00,,5.00,5.00,3.00
2.00,2.00,,,1.00,,,,1.00,,,1.00,,,,3.00,,,,,5.00,,,5.00,,,,,2.00,,,2.00,,,,,1.00,,,1.00,,6.00,5.00,5.00
2.00,2.00,,,,2.00,2.00,,,,,,1.00,4.00,,,,4.00,,,,,,4.00,,4.00,,,,,,4.00,,4.00,,,,,,4.00,,5.00,6.00,7.00
2.00,3.00,,,,1.00,2.00,,,,,,1.00,3.00,,,,4.00,,,,,,4.00,,2.00,,,,,,2.00,,3.00,,,,,,3.00,,5.00,5.00,3.00
2.00,2.00,,,,1.00,2.00,,,,,,1.00,3.00,,,,5.00,,,,,,5.00,,4.00,,,,,,4.00,,2.00,,,,,,2.00,,5.00,6.00,6.00
2.00,2.00,,,1.00,,2.00,,,,,4.00,,4.00,,,,,,4.00,,,,4.00,,,,3.00,,,,3.00,,,,3.00,,,,3.00,,7.00,5.00,6.00
2.00,3.00,,1.00,,1.00,,,,,2.00,,1.00,,,,,,,2.00,,,,2.00,,,,2.00,,,,2.00,,,,2.00,,,,2.00,,6.00,7.00,6.00
2.00,2.00,,,,,,1.00,1.00,,,,,,3.00,3.00,,,,,,,1.00,1.00,,,,,,,1.00,1.00,,,,,,,1.00,1.00,,4.00,6.00,5.00
2.00,3.00,,,,1.00,2.00,,,,,,1.00,1.00,,,,2.00,,,,,,2.00,,2.00,,,,,,2.00,,2.00,,,,,,2.00,,5.00,4.00,3.00
2.00,2.00,,1.00,,,,1.00,,,2.00,,,,3.00,,,,,,3.00,,,3.00,,,,,3.00,,,3.00,,,,,3.00,,,3.00,,6.00,5.00,5.00
2.00,3.00,,1.00,1.00,,,,,,2.00,1.00,,,,,,,3.00,,,,,3.00,,,4.00,,,,,4.00,,,4.00,,,,,4.00,,6.00,7.00,4.00
2.00,2.00,,1.00,,,,1.00,,,2.00,,,,3.00,,,,,,7.00,,,7.00,,,,,7.00,,,7.00,,,,,7.00,,,7.00,,5.00,6.00,7.00
2.00,2.00,,1.00,1.00,,,,,,2.00,1.00,,,,,,,1.00,,,,,1.00,,,1.00,,,,,1.00,,,1.00,,,,,1.00,,5.00,5.00,5.00
2.00,2.00,,,,,,1.00,,,,,,1.00,3.00,,,,,,,1.00,,1.00,,,,,,1.00,,1.00,,,,,,1.00,,1.00,,4.00,6.00,5.00
2.00,2.00,,,,1.00,1.00,,,,,,2.00,1.00,,,,1.00,,,,,,1.00,,1.00,,,,,,1.00,,1.00,,,,,,1.00,,7.00,7.00,4.00
2.00,2.00,,1.00,,,,1.00,,,2.00,,,,3.00,,,,,,4.00,,,4.00,,,,,2.00,,,2.00,,,,,2.00,,,2.00,,5.00,6.00,5.00
2.00,2.00,,1.00,1.00,,,,,,2.00,3.00,,,,,,,5.00,,,,,5.00,,,4.00,,,,,4.00,,,4.00,,,,,4.00,,7.00,5.00,5.00
2.00,2.00,,,1.00,,,,1.00,,,2.00,,,,3.00,,,,,2.00,,,2.00,,,,,3.00,,,3.00,,,,,3.00,,,3.00,,4.00,5.00,5.00
2.00,2.00,,,1.00,,2.00,,,,,2.00,,1.00,,,,,,3.00,,,,3.00,,,,2.00,,,,2.00,,,,3.00,,,,3.00,,4.00,5.00,5.00
2.00,2.00,,,,1.00,,,1.00,,,,2.00,,,3.00,,,,,,4.00,,4.00,,,,,,1.00,,1.00,,,,,,1.00,,1.00,,6.00,5.00,6.00
2.00,2.00,,,,1.00,,,1.00,,,,4.00,,,3.00,,,,,,5.00,,5.00,,,,,,7.00,,7.00,,,,,,7.00,,7.00,,7.00,4.00,6.00
2.00,2.00,,,1.00,,2.00,,,,,1.00,,2.00,,,,,,4.00,,,,4.00,,,,5.00,,,,5.00,,,,5.00,,,,5.00,,5.00,5.00,6.00
2.00,3.00,,1.00,1.00,,,,,,2.00,2.00,,,,,,,1.00,,,,,1.00,,,1.00,,,,,1.00,,,1.00,,,,,1.00,,5.00,6.00,6.00
2.00,2.00,,,,,2.00,1.00,,,,,,3.00,3.00,,,,,,,4.00,,4.00,,,,,,3.00,,3.00,,,,,,3.00,,3.00,,6.00,3.00,6.00
2.00,3.00,,1.00,1.00,,,,,,2.00,1.00,,,,,,,2.00,,,,,2.00,,,3.00,,,,,3.00,,,5.00,,,,,5.00,,5.00,6.00,6.00
2.00,2.00,,,,1.00,2.00,,,,,,4.00,1.00,,,,4.00,,,,,,4.00,,5.00,,,,,,5.00,,4.00,,,,,,4.00,,7.00,6.00,3.00
2.00,2.00,,,,,2.00,1.00,,,,,,1.00,3.00,,,,,,,5.00,,5.00,,,,,,3.00,,3.00,,,,,,5.00,,5.00,,6.00,6.00,5.00
2.00,2.00,,,1.00,,2.00,,,,,2.00,,1.00,,,,,,6.00,,,,6.00,,,,6.00,,,,6.00,,,,5.00,,,,5.00,,5.00,5.00,6.00
2.00,2.00,,1.00,,,,1.00,,,4.00,,,,3.00,,,,,,3.00,,,3.00,,,,,3.00,,,3.00,,,,,3.00,,,3.00,,4.00,5.00,4.00
2.00,2.00,,,,,,,1.00,,,2.00,,,,3.00,,,,,6.00,,,6.00,,,,,7.00,,,7.00,,,,,6.00,,,6.00,,6.00,5.00,4.00
2.00,5.00,,,,,,,1.00,,,2.00,,,,3.00,,,,,5.00,,,5.00,,,,,5.00,,,5.00,,,,,3.00,,,3.00,,7.00,5.00,4.00
2.00,2.00,,,,,,1.00,,,,,,3.00,3.00,,,,,,,5.00,,5.00,,,,,,4.00,,4.00,,,,,,4.00,,4.00,,5.00,4.00,6.00
2.00,2.00,,,,,,1.00,1.00,,,,,,3.00,3.00,,,,,,,7.00,7.00,,,,,,,6.00,6.00,,,,,,,4.00,4.00,,5.00,5.00,2.00
2.00,2.00,,1.00,1.00,,,,,,2.00,2.00,,,,,,,6.00,,,,,6.00,,,7.00,,,,,7.00,,,6.00,,,,,6.00,,6.00,4.00,4.00
2.00,2.00,,1.00,,,,1.00,,,2.00,,,,3.00,,,,,,2.00,,,2.00,,,,,1.00,,,1.00,,,,,2.00,,,2.00,,6.00,4.00,4.00
2.00,2.00,,,,1.00,2.00,,,,,,2.00,1.00,,,,3.00,,,,,,3.00,,1.00,,,,,,1.00,,1.00,,,,,,1.00,,5.00,5.00,5.00
2.00,2.00,,,1.00,,2.00,,,,,4.00,,1.00,,,,,,5.00,,,,5.00,,,,4.00,,,,4.00,,,,3.00,,,,3.00,,5.00,5.00,5.00
2.00,2.00,,1.00,1.00,,,,,,2.00,3.00,,,,,,,1.00,,,,,1.00,,,1.00,,,,,1.00,,,3.00,,,,,3.00,,5.00,4.00,5.00
2.00,2.00,,1.00,,,,1.00,,,1.00,,,,4.00,,,,,,5.00,,,5.00,,,,,5.00,,,5.00,,,,,5.00,,,5.00,,4.00,5.00,5.00
2.00,2.00,,,1.00,,,,,,,2.00,,1.00,,,,,,3.00,,,,3.00,,,,3.00,,,,3.00,,,,2.00,,,,2.00,,5.00,4.00,3.00
2.00,2.00,,1.00,,,,1.00,,,2.00,,,,3.00,,,,,,7.00,,,7.00,,,,,7.00,,,7.00,,,,,7.00,,,7.00,,4.00,6.00,5.00
2.00,2.00,,,,,,1.00,,,2.00,,,,3.00,,,,,,7.00,,,7.00,,,,,3.00,,,3.00,,,,,6.00,,,6.00,,5.00,6.00,5.00
2.00,2.00,,1.00,,,1.00,,,,,3.00,,1.00,,,,,,2.00,,,,2.00,,,,3.00,,,,3.00,,,,2.00,,,,2.00,,6.00,7.00,6.00
2.00,2.00,,,,,,1.00,,,,,,2.00,3.00,,,,,,,5.00,,5.00,,,,,,4.00,,4.00,,,,,,4.00,,4.00,,7.00,6.00,7.00
1.00,2.00,,1.00,,,,1.00,,,2.00,,,,4.00,,,,,,5.00,,,5.00,,,,,4.00,,,4.00,,,,,5.00,,,5.00,,6.00,5.00,6.00
1.00,2.00,,1.00,1.00,,,,,,1.00,2.00,,,,,,,2.00,,,,,2.00,,,3.00,,,,,3.00,,,3.00,,,,,3.00,,7.00,5.00,6.00
1.00,3.00,,,1.00,,,,1.00,,,2.00,,,,4.00,,,,,1.00,,,1.00,,,,,1.00,,,1.00,,,,,1.00,,,1.00,,5.00,4.00,5.00
1.00,2.00,,,1.00,,2.00,,,,,1.00,,4.00,,,,,,5.00,,,,5.00,,,,3.00,,,,3.00,,,,3.00,,,,3.00,,6.00,4.00,5.00
1.00,3.00,,,,1.00,,,1.00,,,,1.00,,,3.00,,,,,,5.00,,5.00,,,,,,3.00,,3.00,,,,,,3.00,,3.00,,5.00,5.00,5.00
1.00,3.00,,1.00,1.00,,,,,,2.00,1.00,,,,,,,6.00,,,,,6.00,,,7.00,,,,,7.00,,,7.00,,,,,7.00,,5.00,6.00,4.00
1.00,2.00,,,,1.00,,,1.00,,,,1.00,,,3.00,,,,,,3.00,,3.00,,,,,,3.00,,3.00,,,,,,2.00,,2.00,,4.00,6.00,5.00
1.00,2.00,,1.00,,1.00,,,,,1.00,,1.00,,,,,,,7.00,,,,7.00,,,,7.00,,,,7.00,,,,7.00,,,,7.00,,4.00,6.00,5.00
1.00,2.00,,,,1.00,,,1.00,,,,1.00,,,3.00,,,,,,7.00,,7.00,,,,,,7.00,,7.00,,,,,,7.00,,7.00,,4.00,6.00,6.00
1.00,2.00,,1.00,,,,1.00,,,2.00,,,,3.00,,,,,,4.00,,,4.00,,,,,6.00,,,6.00,,,,,6.00,,,6.00,,5.00,6.00,7.00
1.00,2.00,,,,,2.00,1.00,,,,,,3.00,4.00,,,,,,,3.00,,3.00,,,,,,1.00,,1.00,,,,,,1.00,,1.00,,4.00,6.00,5.00
1.00,2.00,,,1.00,,,,1.00,,,2.00,,,,3.00,,,,,4.00,,,4.00,,,,,6.00,,,6.00,,,,,5.00,,,5.00,,7.00,6.00,6.00
1.00,2.00,,,1.00,,,,1.00,,,1.00,,,,3.00,,,,,5.00,,,5.00,,,,,6.00,,,6.00,,,,,6.00,,,6.00,,6.00,4.00,4.00
1.00,3.00,,,,,,1.00,1.00,,,,,,3.00,3.00,,,,,,,1.00,1.00,,,,,,,1.00,1.00,,,,,,,1.00,1.00,,5.00,7.00,7.00
1.00,2.00,,,,1.00,,,1.00,,,,1.00,,,3.00,,,,,,5.00,,5.00,,,,,,6.00,,6.00,,,,,,4.00,,4.00,,7.00,5.00,6.00
1.00,2.00,,1.00,,1.00,,,,,2.00,,1.00,,,,,,,1.00,,,,1.00,,,,1.00,,,,1.00,,,,1.00,,,,1.00,,6.00,5.00,7.00
1.00,2.00,,,,1.00,1.00,,,,,,1.00,1.00,,,,5.00,,,,,,5.00,,4.00,,,,,,4.00,,4.00,,,,,,4.00,,6.00,5.00,7.00
1.00,2.00,,,,,,,1.00,,,1.00,,,,3.00,,,,,5.00,,,5.00,,,,,6.00,,,6.00,,,,,6.00,,,6.00,,6.00,7.00,7.00
1.00,2.00,,1.00,1.00,,,,,,1.00,3.00,,,,,,,2.00,,,,,2.00,,,4.00,,,,,4.00,,,4.00,,,,,4.00,,7.00,4.00,5.00
1.00,2.00,,,,,,1.00,1.00,,,,,,3.00,3.00,,,,,,,1.00,1.00,,,,,,,1.00,1.00,,,,,,,1.00,1.00,,6.00,3.00,3.00
1.00,2.00,,1.00,,,,1.00,,,2.00,,,,3.00,,,,,,5.00,,,5.00,,,,,6.00,,,6.00,,,,,6.00,,,6.00,,6.00,3.00,5.00
1.00,2.00,,,1.00,,2.00,,,,,1.00,,2.00,,,,,,4.00,,,,4.00,,,,4.00,,,,4.00,,,,4.00,,,,4.00,,5.00,5.00,5.00
1.00,2.00,,,,1.00,,,,,1.00,,1.00,,,,,,,6.00,,,,6.00,,,,5.00,,,,5.00,,,,4.00,,,,4.00,,5.00,6.00,6.00
1.00,2.00,,,,1.00,2.00,,,,,,2.00,3.00,,,,4.00,,,,,,4.00,,4.00,,,,,,4.00,,4.00,,,,,,4.00,,6.00,5.00,6.00
1.00,2.00,,,,,1.00,1.00,,,,,,1.00,3.00,,,,,,,6.00,,6.00,,,,,,5.00,,5.00,,,,,,5.00,,6.00,,6.00,4.00,5.00
1.00,2.00,,,,1.00,,,,,,,1.00,,,3.00,,,,,,3.00,,3.00,,,,,,3.00,,3.00,,,,,,3.00,,3.00,,6.00,5.00,6.00
1.00,2.00,,,,,,1.00,1.00,,,,,,3.00,3.00,,,,,,,7.00,7.00,,,,,,,7.00,7.00,,,,,,,5.00,5.00,,7.00,4.00,6.00
1.00,2.00,,,,1.00,1.00,,,,,,1.00,1.00,,,,5.00,,,,,,5.00,,5.00,,,,,,5.00,,7.00,,,,,,7.00,,5.00,5.00,6.00
1.00,2.00,,,,1.00,,,,,,,1.00,,,3.00,,,,,,2.00,,2.00,,,,,,7.00,,7.00,,,,,,1.00,,1.00,,6.00,7.00,6.00
1.00,3.00,,,1.00,,,1.00,1.00,,,,,,3.00,3.00,,,,,,,7.00,7.00,,,,,,,6.00,6.00,,,,,,,6.00,6.00,,6.00,4.00,5.00
1.00,3.00,,,1.00,,1.00,,,,,3.00,,1.00,,,,,,5.00,,,,5.00,,,,5.00,,,,5.00,,,,6.00,,,,6.00,,6.00,6.00,6.00
1.00,2.00,,,,,,1.00,1.00,,,,,,3.00,3.00,,,,,,,6.00,6.00,,,,,,,7.00,7.00,,,,,,,6.00,6.00,,7.00,6.00,5.00