Aus welchem Teil Deutschlands kommst du?,Wie alt sind Sie?,Welches ist Ihr Geschlecht?,QUESTIONS,Co-branding That brands könnte ein hochwertiges Partygetränk hervorbringen7,"Ein solches Partygetränk, das aus einer Co-Branding zwischen -- ich wahrscheinlich kaufen würde10",Ich würde einem Freund oder Familienmitglied ein Partygetränk von Brands empfehlen11,AVERAGE CHARACTERESTICS:,Individualism,Collectivism,Uncertainty Avoidance
2,2,2,,4,4,4,,5,6,7
3,3,1,,3,2,4,,4,5,4
2,3,1,,4,2,3,,5,5,3
2,2,1,,5,4,2,,5,6,6
1,2,2,,6,6,6,,7,6,6
2,3,1,,2,2,2,,5,4,3
2,2,1,,1,1,1,,7,7,4
1,2,2,,5,4,4,,6,5,7
2,2,2,,4,5,4,,7,6,3
2,2,1,,3,1,1,,5,5,5
1,2,2,,4,4,4,,6,5,6
1,2,1,,5,5,7,,5,5,6
2,2,2,,3,3,4,,5,6,4
1,2,1,,5,3,3,,6,4,5
2,2,2,,4,3,3,,7,5,6
2,2,2,,3,2,3,,4,5,5
2,2,2,,4,4,4,,5,5,6
2,2,2,,6,6,5,,5,5,6
1,2,2,,4,4,4,,5,5,5
2,2,1,,5,4,3,,5,5,5
2,2,1,,3,3,2,,5,4,3
2,2,2,,2,3,2,,6,7,6
1,3,1,,5,5,6,,6,6,6
1,2,2,,7,7,7,,4,6,5
1,2,2,,6,5,4,,5,6,6
2,2,2,,3,2,1,,4,6,5
2,3,2,,2,2,2,,6,7,6
2,2,2,,2,1,1,,7,4,5
3,2,2,,4,1,1,,5,6,5
1,2,2,,1,1,1,,6,5,7
1,2,2,,7,7,7,,4,6,6
2,2,1,,5,7,7,,7,4,6
1,2,1,,5,6,4,,7,5,6
1,3,2,,5,3,3,,5,5,5
1,2,2,,3,3,3,,6,5,6
1,2,1,,3,3,2,,4,6,5
2,2,2,,4,1,1,,6,5,6
1,2,2,,2,7,1,,6,7,6
2,2,1,,5,5,5,,5,6,6
1,2,1,,6,5,5,,6,4,5
3,2,1,,4,4,4,,6,5,6
3,2,2,,2,4,4,,5,5,5
2,2,2,,5,3,4,,6,6,5
2,2,2,,5,4,4,,5,4,6
2,2,2,,5,4,4,,7,6,7
2,2,1,,4,3,3,,6,3,6
2,2,2,,1,3,3,,6,6,6
2,3,2,,5,4,2,,7,5,6
2,6,2,,4,2,2,,5,5,3
3,2,2,,2,2,1,,5,4,6
1,2,1,,3,1,1,,4,6,5
2,2,2,,1,1,1,,4,6,5